Title,Category,Duration,ClipURl,Tags
It Is What It Is,13,7,https://res.cloudinary.com/djv8pig93/video/upload/v1593216368/qc66sigZwHQN1q6o_ub3onk.mp4,"it is what it is, whatever, laughter, funny"
New York 'Are you Serious to Me',12,9,https://res.cloudinary.com/djv8pig93/video/upload/v1593216368/qHO9WCGvyzJTVfpS_lfz7e5.mp4,"new york, are you serious, what"
"Stephen A Smith ""Oh Lord""",12,2,https://res.cloudinary.com/djv8pig93/video/upload/v1593216368/Q30vdHd-FykBFtH1_gswvez.mp4,"wow, oh lord, steven a smith"
Where is the Flavor?,13,4,https://res.cloudinary.com/djv8pig93/video/upload/v1593216367/Q7nOiPe_gcLdLWXI_iyff63.mp4,"black moms, flavor, no flavor, food "
Draymond & Steph celebrating ,1,10,https://res.cloudinary.com/djv8pig93/video/upload/v1593216367/PURS-z6OZSLrHLjM_inbfit.mp4,"acomplished, NBA, Golden State,steph curry, draymond green"
Contain Laughter ,4,4,https://res.cloudinary.com/djv8pig93/video/upload/v1593216367/PWmmZfHRpzxNZvm6_n1m99s.mp4,"contain laugh, laugh, slow laugh, perfomer"
Dr Umar 'Lets finish another time',12,11,https://res.cloudinary.com/djv8pig93/video/upload/v1593216367/Pz_Xk2kHC4mv4-_k_ecjgeo.mp4,"dr umar, coversation, finsh later, competition"
Dr Umar 'Only for Africans',12,5,https://res.cloudinary.com/djv8pig93/video/upload/v1593216367/pQApO0z_AOPXO-OX_qqnza5.mp4,"dr umar, Africans only, Black only"
Blac Youngsta Heavy Breating and Staring ,12,18,https://res.cloudinary.com/djv8pig93/video/upload/v1593216367/pjvJ6BuDhZDsmDYM_rmx3xd.mp4,"Blac Youngsta, staring, heavy breathing, bitch"
"It's Time, Wish Me Luck",4,6,https://res.cloudinary.com/djv8pig93/video/upload/v1593216367/PjbMND_w7NuZjBZn_t67hbz.mp4,"It's time, wish me luck, leaving"
Joanne The Scammer Caucasians to the Back,12,13,https://res.cloudinary.com/djv8pig93/video/upload/v1593216367/PIZcFbqTZKqMFjwa_ldlh5u.mp4,"Joanne the Scammer, funny, caucasians to the back, scram"
Young Jeezy 'You Know What it Is' ,12,3,https://res.cloudinary.com/djv8pig93/video/upload/v1593216366/PiWKsBXMnryjeGwp_udmc01.mp4,"Young Jeezy, You know what it is, proud,cte "
Bow Down,13,6,https://res.cloudinary.com/djv8pig93/video/upload/v1593216366/pGN9vZMJJTvlxemQ_u22za3.mp4,"Bow Down, Bow down bitches, humble"
Walk in disappointed,13,6,https://res.cloudinary.com/djv8pig93/video/upload/v1593216366/PcTz4_GT0AWV5ZEW_ujhhyb.mp4,"disapponited, aww man, sad, lost "
isiah thomas Just wanted a frosty,2,3,https://res.cloudinary.com/djv8pig93/video/upload/v1593216366/Pano328WwXeOv3-X_e0pnzj.mp4,"isiah thomas, nba, funny, frosty, how"
stephen a smith who is this,1,4,https://res.cloudinary.com/djv8pig93/video/upload/v1593216366/P9dYMGXHnhJ9pieA_d7l6my.mp4,"stephen a smith,espn, first take, confuse, who,this"
boyz n the hood we got the problem here,2,12,https://res.cloudinary.com/djv8pig93/video/upload/v1593216366/P3BJ5gXhX9Rh8LVS_idpo2m.mp4,"ice club, pull up, gun,problem, wassup"
stephen a smith how do you do that,1,6,https://res.cloudinary.com/djv8pig93/video/upload/v1593216366/OyxT4DJ8THWH6vab_jr8zkc.mp4,"stephen a smith, espn, how, what, confuse"
nene leakes it's getting werid ,3,2,https://res.cloudinary.com/djv8pig93/video/upload/v1593216366/OmXldlrzTP1cFuSX_lcmpdp.mp4,"nene, rhoa,werid"
flight laughing then getting scared,13,4,https://res.cloudinary.com/djv8pig93/video/upload/v1593216366/Oilq-YITq971rHa__iud2vm.mp4,"flight, laughing, whoa, scared, confuse"
patrick ewing have you ever shot that shot?,1,7,https://res.cloudinary.com/djv8pig93/video/upload/v1593216365/Od5ERDU2Y_LxbtZI_biy8ea_kx7ehv.mp4,"georgetown, patrick ewing, what are you doing, bad shot, come on"
Chirs paul shit went bad real quick,1,2,https://res.cloudinary.com/djv8pig93/video/upload/v1593216365/nxdUF5qgX583sq6s_xxxxrm.mp4,"chris paul,nba, rockets, real bad, quick"
Skip bayless screams no,1,7,https://res.cloudinary.com/djv8pig93/video/upload/v1593216365/Ns8V9Raiq2nz8ucW_wst0u3.mp4,"skip, no, mad, funny"
hannah montana leaving house sadly,3,19,https://res.cloudinary.com/djv8pig93/video/upload/v1593216365/NIwN39MBvxsL4DTQ_n5be94.mp4,"hannah montana, miley cyrus, leaving, sad, missing, left"
Fresh Price Uncle Phil We?,3,7,https://res.cloudinary.com/djv8pig93/video/upload/v1593216364/N0lz2nYu2PSlvY29_vrnmw4.mp4,"fresh prince, uncle phil, we, who"
American next top model passed out,3,12,https://res.cloudinary.com/djv8pig93/video/upload/v1593216364/mKgGSkbK2GnqP-FA_woy8j6.mp4,"Antm, passed out, wow, "
Drunk Lady falls down,13,5,https://res.cloudinary.com/djv8pig93/video/upload/v1593216364/MrrWnFifXSvzgnoN_nfcsnr.mp4,"drunk, passed out, falling, fail"
chappelle show STFU,3,8,https://res.cloudinary.com/djv8pig93/video/upload/v1593216364/MigMRjNTmBiMXIeH_wzh0yk.mp4,"chappelle show, john mayor, shut up, be quiet "
American got talent x buzzer going off ,3,3,https://res.cloudinary.com/djv8pig93/video/upload/v1593216364/mKC2s8LM1dVjBbgv_rf6zvj.mp4,"trash, x, you suck, boo"
Two dudes dying laughing ,13,18,https://res.cloudinary.com/djv8pig93/video/upload/v1593216364/Md7yIhk31KyxbJRy_vtybil.mp4,"lmao, lol, laughing, funny"
Shiggy crying over heartbreak,13,9,https://res.cloudinary.com/djv8pig93/video/upload/v1593216364/m8eTo7rgGhzKnHXJ_a9fova.mp4,"crying, heartbreak,sad"
"Hip Hop Harry 'GO, GO""",13,12,https://res.cloudinary.com/djv8pig93/video/upload/v1593216351/-8P1JMrhR1rxdIzt_c5afqr.mp4,"Hip Hop Harry, Go, Dance Battle, Dancing "
Family guy oh no this music sucks,3,10,https://res.cloudinary.com/djv8pig93/video/upload/v1593216364/m6XPV7FBx2GxIWaD_seqvwn.mp4,"family guy, oh no, music, bad, trash"
Hitting with a shovel,4,2,https://res.cloudinary.com/djv8pig93/video/upload/v1593216351/-vTgX9x8JC20MbCR_lbvix7.mp4,"Shovel, Fight, Angry"
RHOA I like the beat,3,5,https://res.cloudinary.com/djv8pig93/video/upload/v1593216364/m7_cIg3UVAtmyAGG_kcgnkx.mp4,"rhoa, really,okay sure, fake,lying"
Family guy did you hear something,3,3,https://res.cloudinary.com/djv8pig93/video/upload/v1593216364/LzedXuYmxWAxqDQs_lpalap.mp4,"family guy, ignoring"
Summer Walker awkwardly accept awards,5,3,https://res.cloudinary.com/djv8pig93/video/upload/v1593216363/LJqAcw2gzNK3HDTV_mxyawo.mp4,"summer walker, awkward, I appericate it"
Paternity court Didn't see that coming,3,3,https://res.cloudinary.com/djv8pig93/video/upload/v1593216363/LxQ0mVtLdp0IArU3_vbpwob.mp4,"wow, shock"
Somebody Gon Die,13,9,https://res.cloudinary.com/djv8pig93/video/upload/v1593216351/_jjBYNypy3SmbcMf_utlsfo.mp4,"money, give me my money, die, give"
90 Day Fiance 'crying',3,15,https://res.cloudinary.com/djv8pig93/video/upload/v1593216351/_nMMV7zQh26q9jY6_q4igqi.mp4,"sad, crying, heavy breathing, 90 day fiance "
RHOA Nene Leaks Sipping ,3,5,https://res.cloudinary.com/djv8pig93/video/upload/v1593216351/-LsiP4vaUpu_KUZK_vb1k5s.mp4,"Nene, RHOA, sipping, confused "
Snoop dogg someone take his phone,5,3,https://res.cloudinary.com/djv8pig93/video/upload/v1593216363/lh04BdkN0-k_F0Sq_bmullu.mp4,snopp dogg
WWE Laughing ,1,5,https://res.cloudinary.com/djv8pig93/video/upload/v1593216351/8Im4s3Q5a5ze2bbj_isnmgu.mp4,"WWE, wrestling, laughing, funny, lol"
Beyonce list bad traits,5,4,https://res.cloudinary.com/djv8pig93/video/upload/v1593216363/LDkgbVyCaQLGQRA3_dnl1ml.mp4,"queen b, overweight, untalented"
Bad Girls Club 'Crickets',3,8,https://res.cloudinary.com/djv8pig93/video/upload/v1593216352/_yTeKgsSxf1VvWPm_sbj8dq.mp4,"BCG, bad girls club, quiet, mute"
Two men dancing ,4,6,https://res.cloudinary.com/djv8pig93/video/upload/v1593216352/0eYo3iv--oA7ppRx_rubiiy.mp4,"dancing, fun, life, guys "
Da Brat 'Crying',5,12,https://res.cloudinary.com/djv8pig93/video/upload/v1593216352/-x_s5oOFwiNUNt3R_vlsqb6.mp4,"Da Brat, crying, sad, overwhelmed "
Charles Barkely I'm a dumbass,1,10,https://res.cloudinary.com/djv8pig93/video/upload/v1593216363/LCMlipxcmsa1ghfE_isc1s1.mp4,"NBA, Charles Barkely, dumbass, stupid, prank"
Chad Ocho Cinco Crying 'Special',1,4,https://res.cloudinary.com/djv8pig93/video/upload/v1593216352/8Jcv8elxq-4DWHsG_gxktqw.mp4,"NFL, Chad Ocho Cinco, SPecial, crying, happy cry"
dwyane wade confused ,1,4,https://res.cloudinary.com/djv8pig93/video/upload/v1593216363/leQSd2ryLUrH6kMU_tmogzz.mp4,"confused, D wade, wow, shocked,disbelief"
